id,Repository,Address,Description,Stars,Language,Updated,other
266,roboticcam/machine-learning-notes,https://github.com/roboticcam/machine-learning-notes,My continuously updated Machine Learning、Probabilistic Models and Deep Learning notes and demos (2000+ slides)  我不间断更新的机器学习，概率模型和深度学习的讲义(2000+页)和视频链接,5.3k,Jupyter Notebook,10/13,
267,gzu-liyujiang/AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,安卓选择器类库，包括日期及时间选择器（可用于出生日期、营业时间等）、单项选择器（可用于性别、民族、职业、学历、星座等）、二三级联动选择器（可用于车牌号、基金定投日期等）、城市地址选择器（分省级、地市级及区县级）、数字选择器（可用于年龄、身高、体重、温度等）、日历选日期择器（可用于酒店及机票预定日期）、颜色选择器、文件及目录选择器、图片选择器等……WheelPicker/DatePicker/TimePicker/OptionPicker/NumberPicker/LinkagePicker/AddressPicker/CarNumberPicker/CalendarPicker/ColorPi ...,5.2k,Java,10/28,
268,zhongsp/TypeScript,https://github.com/zhongsp/TypeScript,TypeScript使用手册（中文版）翻译。TypeScript is a superset of JavaScript that compiles to clean JavaScript output.  http://www.typescriptlang.org,5.2k,TypeScript,10/07,
269,JakHuang/form-generator,https://github.com/JakHuang/form-generator,:sparkles:Element UI表单设计及代码生成器,5.2k,Vue,10/06,
270,lcdevelop/ChatBotCourse,https://github.com/lcdevelop/ChatBotCourse,自己动手做聊天机器人教程,5.2k,Python,09/06,
271,chyroc/WechatSogou,https://github.com/chyroc/WechatSogou,基于搜狗微信搜索的微信公众号爬虫接口,5.2k,Python,10/09,
272,YunaiV/onemall,https://github.com/YunaiV/onemall,芋道 mall 商城，基于微服务的思想，构建在 B2C 电商场景下的项目实战。核心技术栈，是 Spring Boot + Dubbo 。未来，会重构成 Spring Cloud Alibaba 。,5.2k,Java,10/13,
273,imDazui/Tvlist-awesome-m3u-m3u8,https://github.com/imDazui/Tvlist-awesome-m3u-m3u8,直播源相关资源汇总 📺 💯 IPTV、M3U —— 勤洗手、戴口罩，祝愿所有人百毒不侵,5.1k,-,08/19,
274,changgyhub/leetcode_101,https://github.com/changgyhub/leetcode_101,LeetCode 101：和你一起你轻松刷题（C++）,5.1k,-,10/30,
275,AutoPiano/AutoPiano,https://github.com/AutoPiano/AutoPiano,自由钢琴 🎹 AutoPiano ( https://www.autopiano.cn )   Simple & Elegant Piano Online,5.1k,JavaScript,09/18,
276,chillzhuang/SpringBlade,https://github.com/chillzhuang/SpringBlade,SpringBlade 是一个由商业级项目升级优化而来的SpringCloud分布式微服务架构、SpringBoot单体式微服务架构并存的综合型项目，采用Java8 API重构了业务代码，完全遵循阿里巴巴编码规范。采用Spring Boot 2.4 、Spring Cloud 2020 、Mybatis 等核心技术，同时提供基于React和Vue的两个前端框架用于快速搭建企业级的SaaS多租户微服务平台。,5.0k,PLpgSQL,07/06,
277,DMQ/mvvm,https://github.com/DMQ/mvvm,剖析vue实现原理，自己动手实现mvvm,5.0k,CSS,06/08,
278,paddingme/Front-end-Web-Development-Interview-Question,https://github.com/paddingme/Front-end-Web-Development-Interview-Question,前端开发面试题大收集，前端面试集锦 :heart: :gift_heart: :cupid:,5.0k,HTML,10/13,
279,gedoor/legado,https://github.com/gedoor/legado,阅读3.0、阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。,5.1k,Kotlin,10/27,
280,EasyDarwin/EasyDarwin,https://github.com/EasyDarwin/EasyDarwin,open source、high performance、industrial rtsp streaming server、a lot of optimization on streaming relay、KeyFrame cache RESTful、and web management、also EasyDarwin support distributed load balancing、a simple streaming media cloud platform architecture.高性能开源RTSP流媒体服务器、基于go语言研发，维护和优化：RTSP推模式转发、RTSP拉模式转发、 ...,5.1k,Go,10/26,
281,MintCN/linux-insides-zh,https://github.com/MintCN/linux-insides-zh,Linux 内核揭秘,5.0k,-,10/28,
282,ZXZxin/ZXBlog,https://github.com/ZXZxin/ZXBlog,记录各种学习笔记(算法、Java、数据库、并发......,4.9k,Java,09/26,
283,yipianfengye/android-zxingLibrary,https://github.com/yipianfengye/android-zxingLibrary,几行代码快速集成二维码扫描功能,4.9k,Java,08/21,
284,fanux/sealos,https://github.com/fanux/sealos,一条命令离线安装高可用kubernetes，3min装完，700M，100年证书，生产环境稳如老狗,4.9k,Go,10/09,
285,fecshop/yii2_fecshop,https://github.com/fecshop/yii2_fecshop,yii2 ( PHP ) fecmall（fecshop） core code used for ecommerce shop 多语言多货币多入口的开源电商 B2C 商城，支持移动端vue、app、html、微信小程序微店，微信小程序商城等,4.8k,PHP,09/02,
286,FQrabbit/SSTap-Rule,https://github.com/FQrabbit/SSTap-Rule,支持更多游戏规则，让SSTap成为真正的“网游加速器”,4.8k,Batchfile,09/29,
287,SecWiki/sec-chart,https://github.com/SecWiki/sec-chart,安全思维导图集合,4.8k,-,09/02,
288,wklken/k-vim,https://github.com/wklken/k-vim,vim配置,4.8k,Vim script,08/16,
289,billryan/resume,https://github.com/billryan/resume,An elegant \LaTeX\ résumé template. 大陆镜像 https://gods.coding.net/p/resume/git,4.8k,TeX,09/05,
290,nl8590687/ASRT_SpeechRecognition,https://github.com/nl8590687/ASRT_SpeechRecognition,A Deep-Learning-Based Chinese Speech Recognition System 基于深度学习的中文语音识别系统,4.8k,Python,09/08,
291,zhangkaitao/shiro-example,https://github.com/zhangkaitao/shiro-example,跟我学Shiro（我的公众号：kaitao-1234567，我的新书：《亿级流量网站架构核心技术》） ,4.8k,HTML,09/01,
292,me115/linuxtools_rst,https://github.com/me115/linuxtools_rst,Linux工具快速教程,4.8k,HTML,08/16,
293,sorenduan/awesome-java-books,https://github.com/sorenduan/awesome-java-books,Java开发者技术书籍大全 - Java入门书籍，Java基础及进阶书籍，框架与中间件，架构设计，设计模式，数学与算法，JVM周边语言，项目管理&领导力&流程，职业素养与个人成长，格局与视野，面试参考书等。,4.8k,-,10/20,
294,jackfrued/Python-Core-50-Courses,https://github.com/jackfrued/Python-Core-50-Courses,Python语言基础50课,4.7k,-,09/10,
295,ffay/lanproxy,https://github.com/ffay/lanproxy,lanproxy是一个将局域网个人电脑、服务器代理到公网的内网穿透工具，支持tcp流量转发，可支持任何tcp上层协议（访问内网网站、本地支付接口调试、ssh访问、远程桌面、http代理、https代理、socks5代理...）。技术交流QQ群 678776401,4.7k,Java,09/05,
296,pythonstock/stock,https://github.com/pythonstock/stock,stock，股票系统。使用python进行开发。,4.7k,Python,10/23,
297,hongyangAndroid/baseAdapter,https://github.com/hongyangAndroid/baseAdapter,RecyclerView、GridView等、支持多种Item类型的情况。,4.6k,Java,10/13,
298,dataabc/weiboSpider,https://github.com/dataabc/weiboSpider,新浪微博爬虫，用python爬取新浪微博数据,4.6k,Python,10/13,
299,xiaolin3303/wx-charts,https://github.com/xiaolin3303/wx-charts,微信小程序图表charts组件，Charts for WeChat small app,4.6k,JavaScript,06/17,
300,Nepxion/Discovery,https://github.com/Nepxion/Discovery,☀️ Nepxion Discovery is a solution for Spring Cloud with blue green、gray、route、limitation、circuit breaker、degrade、isolation、tracing、dye、failover 蓝绿、灰度、路由、限流、熔断、降级、隔离、追踪、流量染色、故障转移,4.6k,Java,10/06,
