id,Repository,Address,Description,Stars,Language,Updated,other
80,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。另外写博客，用 OpenWrite。,14.6k,Java,10/11,
81,Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,😮python模拟登陆一些大型网站，还有一些简单的爬虫，希望对你们有所帮助❤️，如果喜欢记得给个star哦🌟,13.8k,Python,07/24,
82,521xueweihan/git-tips,https://github.com/521xueweihan/git-tips,:trollface:Git的奇技淫巧,13.4k,-,10/18,
83,dcloudio/mui,https://github.com/dcloudio/mui,最接近原生APP体验的高性能框架,13.3k,JavaScript,07/07,
84,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,提高 Android UI 开发效率的 UI 库,13.3k,Java,10/25,
85,yanue/V2rayU,https://github.com/yanue/V2rayU,V2rayU、基于v2ray核心的mac版客户端、用于科学上网、使用swift编写、支持vmess、shadowsocks、socks5等服务协议、支持订阅、支持二维码、剪贴板导入、手动配置、二维码分享等,13.0k,-,10/22,
86,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,This is a picker view for android、support linkage effect、timepicker and optionspicker.（时间选择器、省市区三级联动）,12.9k,Java,06/28,
87,Qv2ray/Qv2ray,https://github.com/Qv2ray/Qv2ray,:star: Linux / Windows / macOS 跨平台 V2Ray 客户端   支持 VMess / VLESS / SSR / Trojan / Trojan-Go / NaiveProxy / HTTP / HTTPS / SOCKS5   使用 C++ / Qt 开发   可拓展插件式设计 :star:,12.6k,C++,08/17,
88,txthinking/brook,https://github.com/txthinking/brook,Brook is a cross-platform strong encryption and not detectable proxy. Zero-Configuration. Brook 是一个跨平台的强加密无特征的代理软件. 零配置.,12.6k,Go,10/22,
89,wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,wangEditor —— 轻量级web富文本框,12.5k,TypeScript,10/22,
90,jobbole/awesome-programming-books,https://github.com/jobbole/awesome-programming-books,经典编程书籍大全，涵盖：计算机系统与网络、系统架构、算法与数据结构、前端开发、后端开发、移动开发、数据库、测试、项目与团队、程序员职业修炼、求职面试等,12.5k,-,08/27,
91,xiandanin/magnetW,https://github.com/xiandanin/magnetW,磁力链接聚合搜索,12.5k,JavaScript,06/29,
92,justauth/JustAuth,https://github.com/justauth/JustAuth,🏆Gitee 最有价值开源项目 🚀:100: 小而全而美的第三方登录开源组件。目前已支持Github、Gitee、微博、钉钉、百度、Coding、腾讯云开发者平台、OSChina、支付宝、QQ、微信、淘宝、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为、企业微信、酷家乐、Gitlab、美团、饿了么、推特、飞书、京东、阿里云、喜马拉雅、Amazon、Slack和 Line 等第三方平台的授权登录。 Login、so easy!,12.3k,Java,10/18,
93,qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic,高颜值的第三方网易云播放器，支持 Windows / macOS / Linux :electron: ,12.2k,JavaScript,10/28,
94,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,12.2k,Java,09/21,
95,h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,提供多款 Shadowrocket 规则，带广告过滤功能。用于 iOS 未越狱设备选择性地自动翻墙。,12.1k,Python,04/13,
96,ruanyf/free-books,https://github.com/ruanyf/free-books,互联网上的免费书籍,12.1k,-,04/11,
97,Tencent/omi,https://github.com/Tencent/omi, Front End Cross-Frameworks Framework - 前端跨框架跨平台框架,12.1k,JavaScript,10/29,
98,eip-work/kuboard-press,https://github.com/eip-work/kuboard-press,Kuboard 是基于 Kubernetes 的微服务管理界面。同时提供 Kubernetes 免费中文教程，入门教程，最新版本的 Kubernetes v1.20 安装手册，(k8s install) 在线答疑，持续更新。,12.0k,JavaScript,10/31,
99,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,🔥 A low-cost Android screen adaptation solution (今日头条屏幕适配方案终极版，一个极低成本的 Android 屏幕适配方案).,12.0k,Java,06/24,
100,Tencent/APIJSON,https://github.com/Tencent/APIJSON,🚀 零代码、热更新、全自动 ORM 库，后端接口和文档零代码，前端(客户端) 定制返回 JSON 的数据和结构。 🚀 A JSON Transmission Protocol and an ORM Library for automatically providing APIs and Docs.,11.9k,Java,10/26,
101,leisurelicht/wtfpython-cn,https://github.com/leisurelicht/wtfpython-cn,wtfpython的中文翻译/施工结束/ 能力有限，欢迎帮我改进翻译,11.9k,Python,07/08,
102,qyuhen/book,https://github.com/qyuhen/book,学习笔记,11.8k,-,04/07,
